id,通用名称,药品名称,注意事项,注意事项关系
248,舒肝解郁胶囊,,肝功能不全的患者慎用。,肝功能不全-慎用
252,银杏叶提取物片,,金纳多不影响糖代谢，因此适用于糖尿病病人。,
253,血府逐瘀胶囊,,1.忌食用辛冷食物。2.孕妇忌服。,孕妇-禁忌
257,乌灵胶囊,,1.忌烟、酒及辛辣、油腻食物。2.服药期间要保持情绪乐观，切忌生气恼怒。3.有高血压、心脏病、糖尿病、肝病、肾病等慢性病严重者应在医师指导下服用。4.孕妇慎用。儿童及年老体弱者应在医师指导下服用。5.服药7天症状无缓解，应去医院就诊。6.对本品过敏者禁用，过敏体质者慎用。7.本品性状发生改变时禁止使用。8.儿童必须在成人监护下使用。9.请将本品放在儿童不能接触的地方。10.如正在使用其他药品，使用本品前请咨询医师或药师。,孕妇-禁忌
258,碳酸锂缓释片,,由于锂盐的治疗指数低，治疗量和中毒量较接近，应对血锂浓度进行监测，帮助调节治疗量及维持量，及时发现急性中毒。治疗期应每1-2周测量血锂一次，维持治疗期可每月测定一次。取血时间应在次日晨即末次服药后12小时。急性治疗的血锂浓度为0.6～1.2mmol/L，维持治疗的血锂浓度为0.4～0.8mmol/L，1.4mmol/L视为有效浓度的上限，超过此值容易出现锂中毒。脑器质性疾病、严重躯体疾病和低钠血症患者慎用本品。,脑器质性疾病-慎用，严重躯体疾病-慎用，低钠血症-慎用，
259,碳酸锂片,,由于锂盐的治疗指数低，治疗量和中毒量较接近，应对血锂浓度进行监测，帮助调节治疗量及维持量，及时发现急性中毒。治疗期应每1～2周测量血锂一次，维持治疗期可每月测定一次。取血时间应在次日晨即末次服药后12小时。急性治疗的血锂浓度为0.6～1.2mmol/L，维持治疗的血锂浓度为0.4～0.8mmol/L，1.4mmol/L视为有效浓度的上限，超过此值容易出现锂中毒。脑器质性疾病、严重躯体疾病和低钠血症患者慎用。服患者需注意体液大量丢失，如持续呕吐、腹泻、大量出汗等情况易引起锂中毒。服期间不可用低盐饮食。长期服药者应定期检查肾功能和甲状腺功能。,脑器质性疾病-慎用，严重躯体疾病-慎用，低钠血症-慎用，肾功能-出，甲状腺功能-检查
262,丙戊酸镁缓释片,,1、丙戊酸副作用发生，往往提示血浆丙戊酸浓度大于120μg/ml，故建议有条件的医院，最好进行血药浓度检查。2、孕妇、肝病患者，血小板减少症病人慎用。在服药期间注意对症检查，如肝功能、血常规、血小板计数等。3、出现意识障碍、肝功能异常、胰腺炎等严重副反应时，应停药。4、用药期间避免饮酒，饮酒可加重镇静作用。5、停药应逐渐减量以防再次出现发作，取代其他抗惊厥药物时，本品应逐渐增加用量，而被取代药应逐渐减少用量。6、对诊断的干扰，尿酮试验可出现假阳性，甲状腺功能试验可能受影响。7、可使乳酸脱氢酶、丙氨酸氨基转移酶、门冬氨酸氨基转移酶轻度升高并提示无症状性肝脏中毒，血清胆红素可能升高提示潜在的严重肝脏中毒。8、肾功能不全的患者应慎用，由于游离血清丙戊酸水平增高，因而需要减少丙戊酸的剂量。9、虽偶有报导应用本品时常出现免疫异常，但是在系统性红斑狼疮的病人使用时，需要权衡本品的效益与危险性。10、偶有胰腺炎报导，因此当病人患急性腹痛时，在手术前，应查血清淀粉酶。,孕妇-慎用，肝病-慎用，血小板减少症-慎用，肝功能-检查，血常规-检查，血小板计数-检查，意识障碍-停用，肝功能异常-停用，胰腺炎-停用，肾功能不全-慎用，
265,九味镇心颗粒,,心功能、肝功能异常及白细胞减少者慎用。,心功能-慎用，肝功能异常-慎用，白细胞减少-慎用
266,盐酸硫必利片,,严重循环系统障碍，肝肾功能障碍，脱水营养不良患者慎用。,严重循环系统障碍-慎用，肝肾功能障碍-慎用，脱水营养不良-慎用
267,盐酸舍曲林片,,"1．舍曲林与可增加5-羟色胺神经传导的药物如色氨酸或芬氟拉明合用时应慎重考虑,避免出现可能的药效学相互作用。2．由其它5-羟色胺再摄取抑制剂、抗抑郁药物或抗强迫症药物转换为舍曲林治疗的最佳时机尚无经验。转换治疗时，特别是长效药物如氟西汀，应谨慎小心，应进行慎重的药效学评价和监测。由一种选择性5-羟色胺再摄取抑制剂转换为另一种药物治疗的清洗期目前还未确定。躁狂/轻躁狂的激活作用:上市前的试验期间，接受舍曲林治疗的病人约0.4%出现轻躁狂或躁狂。应用其他已上市的抗抑郁药物或抗强迫症药物治疗情感性障碍时，也有报道少数病人出现有躁狂或轻度躁狂。3．抗抑郁药物和抗强迫症药物都有诱发癫痫发作的潜在危险性。所有在用舍曲林治疗抑郁症的试验中，大约有约0.08%出现癫痫发作；在舍曲林治疗惊恐症的试验中没有癫痫发作的报道。在约1800名接受舍曲林治疗的强迫症患者中，有4人(约0.2%)出现抽搐发作，其中3例患者为青少年，2例患有癫痫，1例患者有癫痫家族史，所有这4例患者都没有接受抗癫痫药物治疗。所有癫痫发作尚未确定与舍曲林治疗直接相关。舍曲林还没有在癫痫病人中作过评价，所以应避免用于不稳定性癫痫病人。对病情已控制的癫痫病人，应密切监护，任何服用舍曲林期间出现癫痫发作的患者均应停止给药。4．由于抑郁症病人存在自杀企图的可能性，并可能持续存在直到临床明显缓解时，所以在治疗早期应对有自杀危险的病人进行密切监视。由于已证明强迫症和抑郁症常常共发，故治疗强迫症患者时也应监测其自杀倾向。5．育龄妇女使用舍曲林则应采取足够的安全的避孕措施。6．虽然临床药理学研究显示舍曲林对于精神运动性活动没有影响。然而抗抑郁或抗强迫症药物可以影响从事驾车或操作机器等有潜在危险性的工作时所必须的精力及体能，因此这类病人服用舍曲林应小心。7．肝功能不全患者:伴发肝脏疾病的患者应慎用舍曲林。肝功能损伤患者应减低服药剂量或给药频率。8．肾功能不全患者:无需根据肾功能损害程度调整舍曲林给药剂量。",驾车-不宜，操作机器-不宜，肝功能不全-慎用，肝功能损伤-减量
270,丙戊酸钠缓释片,,中内容）。由于存在肝脏毒性风险和出血风险，儿童服用本品时应避免合用乙酰水杨酸。有病因不明的肝脏及消化道功能紊乱（如厌食、呕吐、细胞溶解现象）、消沉或昏迷表现、智力迟钝的儿童，或家族中有新生儿或婴儿死亡的情况的儿童，在接受任何丙戊酸盐治疗前必须进行代谢性指标的检验，尤其是空腹和餐后血氨水平的检验。对于18岁以下儿童和青年，丙戊酸钠用于治疗与双相情感障碍相关的躁狂的安全性和有效性尚未研究。,乙酰水杨酸-禁忌
354,同仁牛黄清心丸,,1.孕妇慎用。2.孕妇及哺乳期妇女、儿童、老年人使用本品应遵医嘱。3.运动员慎服。4.过敏体质者慎用。5.儿童必须在成人的监护下使用。6.如正在服用其他药品，使用本品前请咨询医师。7.服用前应除去蜡皮、塑料球壳及玻璃纸；本品不可整丸吞服。请仔细阅读说明书并遵医嘱使用。,孕妇-慎用
473,松龄血脉康胶囊,,尚不明确。请仔细阅读说明书并遵医嘱使用。,
482,茴拉西坦胶囊,,1.建议安全使用范围0.3～1.8g/日。2.有明显肝功能异常者应适当调整给药剂量。3.本品可加重Huntington舞蹈病者症状。请仔细阅读说明书并遵医嘱使用。,肝功能异常-减量
489,艾地苯醌片,,长期服用，要注意检查GOT、GPT等肝功能。请仔细阅读说明书并遵医嘱使用。,肝功能-检查
511,复方吡拉西坦脑蛋白水解物片,,当药品性状发生改变时禁止使用。请仔细阅读说明书并遵医嘱使用。,
520,振源胶囊,,忌与五灵脂，藜芦同服。请仔细阅读说明书并遵医嘱使用。,五灵脂-禁忌，藜芦-禁忌
527,振源胶囊,,忌与五灵脂、藜芦同服。,五灵脂-禁忌，藜芦-禁忌
559,"利培酮片<spanstyle=""font-family:微软雅黑,&quot;MicrosoftYaHei&quot;;font-size:14px;"">","<spanstyle=""font-family:微软雅黑,&quot;MicrosoftYaHei&quot;;font-size:14px;"">","部分。12.食物不影响本品的吸收。<spanstyle=""font-family:微软雅黑,&quot;MicrosoftYaHei&quot;;font-size:14px;""><spanstyle=""font-size:12px;font-family:微软雅黑,&quot;MicrosoftYaHei&quot;;margin:0px;padding:0px;font-weight:bold;"">",
567,舒眠胶囊,,注意避免精神刺激，酗酒，过度疲劳；睡前避免摄食过量，不参加导致过度兴奋的活动等。请仔细阅读说明书并遵医嘱使用。,
578,盐酸美金刚片,,"肾功能损害患者对于肾功能轻度损害（血清肌酐水平不超过130μmol/l）患者,无需调整剂量。对于中度肾功能损害（肌酐清除率40—60ml/min/1.73m2）患者的资料,因此不推荐在这种患者中使用本品。肝功能损害患者目前尚无美金刚应用于肝功能损害患者的资料。癫痫患者、有惊厥病史、或癫痫易感体质的患者应用美金刚时应慎重。尿液pH值升高的患者服用本品时必须进行密切监测。心肌梗塞、失代偿性充血性心力衰竭和未有效控制的高血压患者应用美金刚的资料有限,因此这些患者服用本品时应密切观察。中重度至重度阿尔茨海默型痴呆病通常会导致驾驶和机械操作能力的损害,而且本品可能改变患者的反应能力,因此服用本品的患者在驾车或操作机械时要特别小心。请仔细阅读说明书并遵医嘱使用。",肾功能损害-不宜，癫痫患者-慎用，惊厥-慎用，癫痫易感体质-慎用，驾车-不宜，操作机械-不宜
579,null,null,null,
580,圣·约翰草提取物片,,1、在服用本品期间，应避免较长时间使皮肤直接暴露于强烈阳光下，以免出现不良反应。使用可能引起患者光敏感性增加的药物之前，请向医生咨询。2、因本品含乳糖，所以对明某种糖不耐受的患者，服药之前请向医生咨询。3、曾有报告称患者每天摄入4.5g提取物，持续2周，且住院前又服用15g提前物，患者出现癫痫和精神错乱，过量用药后可能导致光敏感应一周内防晒、防紫外线。,
584,盐酸金刚烷胺片,,下列情况下应在严密监护下使用有癫痫史、精神错乱、幻觉、充血性心力衰竭、肾功能不全、外周血管性水肿或直立性低血压的患者。治疗帕金森病时不应突然停药。用药期间不宜驾驶车辆，操纵机械和高空作业。每日最后一次服药时间应在下午4时前，以避免失眠。请仔细阅读说明书并遵医嘱使用。,癫痫史-注意，精神错乱-注意，幻觉-注意，充血性心力衰竭-注意，肾功能不全-注意，外周血管性水肿或直立性低血压-注意，驾驶车辆-不宜，操纵机械-不宜，高空作业-不宜
592,盐酸苯海索片,,1.孕妇及哺乳期妇女及儿童慎用。2.老年人长期应用容易促发青光眼。伴有动脉硬化者，对常用量的抗帕金森病药容易出现精神错乱、定向障碍、焦虑、幻觉及精神病样症状。应慎用。3.药物过量会产生中毒症状超剂量时，可见瞳孔散大、眼压增高、心悸、心动过速、排尿困难、无力、头痛、面红、发热或腹胀。有时伴有精神错乱、谵妄、妄想、幻觉等中毒性精神病症状。严重者可出现昏迷、惊厥、循环衰竭。处理催吐或洗胃，采取增加排泄措施，并依病情进行相应对症治疗和支持疗法。请仔细阅读说明书并遵医嘱使用。,孕妇-慎用，哺乳期妇女-慎用，儿童-慎用，动脉硬化-慎用，精神错乱-慎用，定向障碍-慎用，焦虑-慎用，幻觉-慎用，精神病-慎用
593,复方地西泮片,null,青光眼、重症肌无力，处于抑制状态的急性酒精中毒、肝肾功能损害、慢性严重阻塞性肺部病变者及孕妇、幼儿慎用。,青光眼-慎用，重症肌无力-慎用，急性酒精中毒-慎用，肝肾功能损害-慎用，慢性严重阻塞性肺部病变-慎用，孕妇-慎用，幼儿-慎用
594,安脑丸,,1.按医嘱服用。2.本品含猪胆粉，有宗教信仰者慎用。,
599,氯氮平口腔崩解片,null,1.氯氮平具有诱发粒细胞缺乏症和癫痫发作的危险性，故仅限用于服用标准抗精神病药治疗一定疗程后，因疗效不明显，或因不良反应无法耐受的患者(详见警告);2。氯氮平具有诱发粒细胞缺乏和癫痫发作的危险性，且在整个治疗期间都可发生，所以，对治疗无效的患者禁止延长疗程;3.另外，对有临床疗效的患者是否需要继续治疗应定期进行再评价。,
603,盐酸多奈哌齐胶囊,,1.麻醉时可能会增强琥珀酰胆碱型药物的肌肉松弛作用。2.本品因其药理作用可对心率产生迷走神经样作用，患有“病窦综合征”或其它室上性心脏传导疾患的病人应慎用。3.因其拟胆碱作用，有哮喘史或阻塞性肺疾病史的病人应慎用本品。4.胆碱酯酶抑制剂可能增加胃酸的分泌，因此对有溃疡病史或同时服用非甾体抗炎药的患者，应密切注意可能出现的胃出血。请仔细阅读说明书并遵医嘱使用。,病窦综合征-慎用，心脏传导阻滞-慎用，哮喘-慎用，阻塞性肺疾病-慎用
604,复方罗布麻颗粒,,尚不明确。请仔细阅读说明书并遵医嘱使用。,
615,null,null,有些病人服用舒绪盐酸曲唑酮片时可能会出现低血压，包括体位性低血压和晕厥。如果盐酸曲唑酮与降压药合用，需要减少降压药的剂量。盐酸曲唑酮和全麻药的相互作用了解甚少，因而在择期手术前，盐酸曲唑酮应在临床许可的情况下尽早停用。执行有潜在危险任务（如开车或开机器）者，用药期间须加小心。盐酸曲唑酮应在餐后服用，禁食条件空腹服药，头晕或头昏有可能会增加。,开车-不宜，开机器-不宜
618,盐酸齐拉西酮片,,"1．与痴呆有关的老年精神病患者死亡率增加。与安慰剂相比，与痴呆有关的老年精神病患者服用非典型抗精神病药物后死亡率有增加的风险。齐拉西酮未批准用于治疗痴呆相关的精神病（见警示语）。2．齐拉西酮治疗引起QTc延长，比四种对照药物（利培酮、奥氮平、喹硫平和氟哌啶醇）对QTc的影响长约9-14毫秒，但是比硫利哒嗪约短14毫秒。一些能延长QT/QTc间期的药物被认为与尖端扭转型室性心律失常(torsadedepointes)的发生及猝死有关。QT/QTc间期延长与尖端扭转型室性心律失常的关系在QT/QTc间期增加幅度较大时（增加幅度超过20毫秒）比较明确，但是QT/QTc间期延长幅度较小时，也会增加尖端扭转型室性心律失常的发生风险，或者在一些易感个体增强其发生的风险，比如有低钾血症、低镁血症或遗传易感个体。尽管在上市前临床研究中，患者服用推荐剂量齐拉西酮尚未出现尖端扭转型室性心律失常(torsadede.pointes)，但因经验太少，尚不能排除其潜在的风险。与其他几种抗精神病药相比，齐拉西酮延长QTc间期的作用较强，增加了治疗过程中猝死的风险。这种可能性在选择治疗药物时应予以高度重视。3．低血钾或低血镁能增加QT延长和心律不齐的风险。低血钾／镁的患者在治疗前应补充电解质。齐拉西酮治疗期间又服用利尿剂的患者，应定期监测血清电解质。有严重心血管疾病痛史的患者，如QT间期延长、近期内的急性心肌梗塞、失代偿性心衰或者心律失常的患者，应避免接受齐拉两酮治疗。如果发现患者出现了持续性QTc]500毫秒，应停用齐拉西酮。4．服用齐拉西酮后出现了提示有尖端扭转型室性心律失常发生的症状（如头晕、心悸、昏厥等）的患者，医生应用Holter监测法对患者作进一步评价。5．恶性综合征(NMS):已经有报道抗精神病药治疗可以诱发一组致死性的复合症状群，统一命名为“恶性综合征”(NMS)。其他体征包括肌酐磷酸酶升高、蛋白尿和急性肾如果合并其他严重躯体疾病，应当采取特殊的治疗措施积极治疗。目前对于NMS尚无公认的特效治疗方法。如患者恢复后需要再次使用抗精神病药物，应慎重考虑选择适当的抗精神病药治疗。须对患者情况进行密切监测，因有报道有复发NMS的可能。6．迟发性运动障碍(TD),使用齐拉西酮时应采取尽可能减少TD发生的给药方式。如果用齐拉西酮治疗的患者出现迟发性运动障碍的症状或体征，应考虑停药但有些患者即使出现该症状，仍需要继续服用齐拉西酮治疗。7．高血糖和儿型糖尿病,服用非典型抗精神病药物的患者已报道出现高血糖症，使用齐拉西酮的患者尚无高血糖症和糖尿病的报道。但是尚不清楚齐拉西酮无此不良反应报道是否仅与临床使用尚少有关。8．皮疹在齐拉两酮的上市前试验中，约596的患者出现皮疹／荨麻疹，因此停药的患者约为1/6。皮疹的发生率与齐拉西酮的剂量有关，但是也可能是因为患者较长时间接受高剂量药物治疗的缘故。几例皮疹患者，出现了相关的全身症状和体征，如WBCs计数增加。绝大多数患者用抗组胺药、类固醇或停药等辅助措施就能迅速改善症状。出现不能确定病因的皮疹时，应停用齐拉西酮。9．体位性低血压齐拉西酮可能引起一些患者发生体位性低血压，出现头晕、心动过速、昏厥等，特别是在用药初期和剂量调整期。这可能与齐拉西酮的Q1-肾上腺素拮抗剂特性有关。齐拉两酮诱发昏厥的发生率为0.6%。有心血管病史（心肌梗塞、缺血性心脏病、心衰或传导异常）、脑血管病史或易于出现低血压的躯体疾病病史（脱水、血容量不足和服用抗高血压药）的患者应慎用齐拉西酮。10.癫痫临床试验期间，齐拉西酮诱发癫痫的发生率为0.4%。造成癫痫的原因十分复杂，和其他抗精神病药一样，有癫痫病史或癫痫发生阈值降低（如阿尔茨海默病，即早老性痴呆）的患者应慎用齐拉西酮。在65岁以上的人群中，息有癫痫发生阈值降低的疾病比较普遍。11.吞咽困难食管运动异常和误吸均可能与服用抗精神病药有关。有吸入性肺炎风险的患者，应慎用齐拉西酮和其他抗精神病药。12.高催乳素血症与其他多巴胺D2受体拮抗剂一样，齐拉西酮能升高人体内催乳素水平。约1/3的人患乳腺癌可能是催乳素依赖性的，确诊为乳腺癌的患者应慎重考虑是否服用齐拉西酮。截至目前的临床研究和流行病学研究表明，长期服用齐拉西酮与精神病人肿瘤的发生无关。现有的资料太少，还不适宜作出最后的结论。13.潜在损害认知和运动功能齐拉西酮最常见的不良反应为嗜睡。在4-6周安慰剂对照试验中，齐拉西酮和安慰剂组嗜睡的发生率分别为14X,和7%。在短期临床试验中，因嗜睡导致脱落的患者比例为0.3%。服药期间患者应谨慎从事需要精神支配的活动，如驾驶机动运输工具或驾驶具有危险性的机械，直到有理由确认，齐拉西酮治疗不会对上述活动产生不良影响为止。14.阴茎异常勃起上市前的资料中仅1例患者出现阴茎异常勃起。阴茎异常勃起与齐拉西酮之间的关系尚未确定。具有a-肾上腺素能受体阻断作用的药物能诱发阴茎异常勃起，本品可能具有诱发阴茎异常勃起的作用。15.体温调节尽管上市前没有齐拉西酮影响体温调节功能的报道，但由于抗精神病药具有干扰体温调节中枢的能力，建议如果患者忠有导致体温升高的状况时，如过度运动、暴蹭在极热环境中、服用抗胆碱能的药物或处于脱水状态时，应慎用齐拉西酮。16.自杀精神疾病患者均具有潜在的自杀意图，药物治疗期间应密切监测高风险患者。处方齐拉西酮的药量应为有效控制症状的最小剂量，以降低药物过盈风险。17.合并其他疾病患者的用药齐拉西酮用于治疗伴某些其他全身性疾病患者的临床经验十分有限，还未系统评价在近期患有心肌梗塞或不稳定性心脏病患者中使用齐拉西酮的疗效。心脏病患者应慎用齐拉西酮。请仔细阅读说明书并遵医嘱使用。",
624,氢溴酸西酞普兰胶囊,,1.儿童和青少年抗抑郁剂不适用于儿童和18岁以下的青少年。在儿童和18岁以下的青少年的临床试验中，发现本品组发生与自杀相关的行为（自杀企图和自杀观念）和敌意（攻击性，对抗行为和易怒）的频率高于安慰剂组。即使是为了临床试验，仍需密切监测患者的自杀表现。2.矛盾性焦虑一些惊恐障碍患者在接受抗抑郁药物治疗初期，焦虑症状可能会加重，这种反应通常会在治疗开始后的2周内逐渐减轻。建议降低起始剂量以减少药物的这种反应的发生。3.低钠血症罕有使用SSRI类药物出现低钠血症的报告，可能是由于抗利尿激素的异常分泌引起。,儿童-不适用，18岁以下的青少年-不适用，矛盾性焦虑-慎用，
628,阿立哌唑片,,1.体位性低血压因阿立哌唑具有α1-肾上腺素能受体的拮抗作用，可能引起体位性低血压。在阿立哌唑治疗精神分裂症（n=926）的5个短期安慰剂对照试验中，与体位性低血压相关事件的发生率包括体位性低血压（安慰剂1﹪，阿立哌唑1.9﹪）、体位性头晕眼花（安慰剂1﹪、阿立哌唑0.9﹪）和昏厥（安慰剂1﹪、阿立哌唑0.6%）。对于血压体位性显著改变（定义从仰卧到直立时收缩压至少降低30mmHg）的发生率，阿立哌唑与安慰剂之间无统计学差异（阿立哌唑治疗者中为14﹪，安慰剂治疗者中为12﹪）。?阿立哌唑应慎用于心血管疾病（心肌梗塞、缺血性心脏病、心脏衰竭或传导异常病史）患者、脑血管疾病患者或诱发低血压的情况（脱水，血容量过低和降压药治疗）。?2.癫痫发作在短期安慰剂对照试验中，有0.1﹪（1/926）的阿立哌唑治疗者出现癫痫发作。与其它抗精神病药一样，阿立哌唑应慎用于有癫痫病史或癫痫阈值较低的情况（如阿尔茨海默氏病性痴呆），癫痫阈值较低的情况在65岁以上人群较常见。?3.潜在的认知和运动损害在短期安慰剂对照试验中，11﹪的阿立哌唑治疗者报道有嗜睡，而安慰剂治疗者为8﹪；0.1﹪（1/926）的阿立哌唑治疗者因嗜睡导致停药。与安慰剂相比，尽管阿立哌唑引起嗜睡的发生率相对略有升高，但与其它抗精神病药一样，阿立哌唑也可能会损害判断、思考或运动技能。应警告患者小心操作危险机器（包括汽车），直到确信阿立哌唑治疗不会给他们带来负面影响。?4.体温调节干扰机体降低体温的能力是抗精神病药的特征。当阿立哌唑处方给将导致体温升高的情况（如剧烈运动、过热、同时服用抗胆碱能活性药物、脱水）的患者时，建议应进行适当的护理。?5.吞咽障碍食管运动障碍和误吸与使用抗精神病药有关。吸入性肺炎是老年患者，尤其是有进行性阿尔茨海默氏病性痴呆患者发病和死亡的常见原因。阿立哌唑和其他抗精神病药应慎用于有吸入性肺炎风险性的患者。?(详见包装内部说明书)请仔细阅读说明书并遵医嘱使用。,操作危险机器-不宜，
629,艾地苯醌片,,长期服用，要注意检查GOT、GPT等肝功能。,肝功能-检查
638,氢溴酸西酞普兰片,,1.与单胺氧化酶抑制剂(MAOI&#39;s)的相互作用在同时使用5-羟色胺再摄取抑制剂(SSRI)和单胺氧化酶抑制剂(MAOI&#39;s)的患者，曾报道发生严重或致命的反应，如体温过高、僵直、肌阵脔、重要生命体征的自主不稳定快速波动，包括精神极度兴奋所致的精神狂乱谵语或昏迷等意识改变。在近期停止使用SSRI并开始使用MAOI&#39;s的患者也有发生上述反应的同样报道。有些病例表现出类似精神抑制药所引起的恶性综合症。此外，有限的动物试验资料显示联合使用SSRI和MAOI&#39;s，两者的协同作用会升高血压，并且引起行为激动。所以建议SSRI和MAOI&#39;s不可联合使用，或者停止服用其中任何一种药物至少14天后才可以服用另外一种药物。2.告诫因本品解除抑制的作用可先于抗抑郁作用，所以，病人在出现明显抑郁缓解之前仍可能持续存在自杀的可能性。如病人进入躁狂期，应停用本品，并给予精神抑制药作适当治疗。3.西酞普兰可能会引发癫痫的发作，因此，有癫痫病史的患者慎用。4.西酞普兰可能会引发躁狂的发作，因此，有躁狂病史的患者慎用。5.严重肾功能障碍患者应慎用。6.临床研究结果显示，西酞普兰可能会引发低钠血症和抗利尿激素分泌异常综合症，因此，在用药过程中应密切监测上述疾病的症状发生，并及时停药，采取适当的措施。7.使用本品的患者应避免操作危险的机械，包括驾驶汽力。8.使用本品的患者不应同时服用含酒精的制品。,躁狂-停用，癫痫-慎用，严重肾功能障碍-慎用，驾驶汽车-不宜，操作危险机器-不宜
641,利培酮分散片,,部分。12.食物不影响本品的吸收。,
642,盐酸米安色林片,,1.盐酸米安色林在服药最初几天内，可能影响精神运动性功能，服用抗抑郁药治疗抑郁症的患者，一般应避免从事危险性工作，如驾车或操作机器。2.盐酸米安色林象其它抗抑郁药一样，对双相抑郁症患者可能诱发轻躁狂发作。对这类病人应停止治疗。3.曾报道说盐酸米安色林能引起骨髓抑制，主要为粒细胞减少症和粒细胞缺乏症。一般见于治疗4-6周左右，停药后即可恢复。如病人出现发热、咽痛、口角炎或其它感染症状，则应作血常规检查，这一副反应可见于各种年龄，但老年人中更易发生。4.当患者同时有糖尿病、心脏病、肝或肾功能不全时，应采取常规预防措施，并严密检查其同时服用的其它药物剂量，虽然盐酸米安色林治疗时并不一定发生抗胆碱能副作用，但对窄角性青光眼或前列腺肥大可疑患者，仍应加强观察。请仔细阅读说明书并遵医嘱使用。,驾车-不宜，操作机器-不宜，轻躁狂-停用，
644,盐酸美金刚片,,"肾功能损害患者对于肾功能轻度损害（血清肌酐水平不超过130μmol/l）患者,无需调整剂量。对于中度肾功能损害（肌酐清除率40—60ml/min/1.73m2）患者的资料,因此不推荐在这种患者中使用本品。肝功能损害患者目前尚无美金刚应用于肝功能损害患者的资料。癫痫患者、有惊厥病史、或癫痫易感体质的患者应用美金刚时应慎重。尿液pH值升高的患者服用本品时必须进行密切监测。心肌梗塞、失代偿性充血性心力衰竭和未有效控制的高血压患者应用美金刚的资料有限,因此这些患者服用本品时应密切观察。中重度至重度阿尔茨海默型痴呆病通常会导致驾驶和机械操作能力的损害,而且本品可能改变患者的反应能力,因此服用本品的患者在驾车或操作机械时要特别小心。请仔细阅读说明书并遵医嘱使用。",肾功能损害-不宜，癫痫患者-慎用，惊厥-慎用，癫痫易感体质-慎用，驾车-不宜，操作机械-不宜
667,盐酸舍曲林胶囊,,1.舍曲林与可增加5-羟色胺神经传导的药物如色氨酸或芬氟拉明合用时应慎重考虑，避免出现可能的药效学相互作用。2.由其它5-羟色胺再摄取抑制剂、抗抑郁药物或抗强迫症药物转换为舍曲林治疗的最佳时机尚无经验。转换治疗时，特别是长效药物如氟西汀，应谨慎小心，应进行慎重的药效学评价和监测。由一种选择性5-羟色胺再摄取抑制剂转换为另一种药物治疗的清洗期目前还未确定。3.躁狂/轻躁狂的激活作用:上市前的试验期间，接受舍曲林治疗的病人约0.4%出现轻躁狂或躁狂。应用其他已上市的抗抑郁药。请仔细阅读说明书并遵医嘱使用。,氟西汀-慎重，轻躁狂-慎重，躁狂-慎重，
673,草酸艾司西酞普兰片,,抗抑郁剂不适用于儿童和18岁以下的青少年。在儿童和18岁以下的青少年的临床试验中，发现本品组发生于自杀相关的行为（自杀企图和自杀观念）和敌意（攻击性，对抗行为和易怒）的频率高于安慰剂组。即使是为了临床试验，仍需密切监测患者的自杀表现。详见内包装说明书。请仔细阅读说明书并遵医嘱使用。,儿童-不适用，18岁以下的青少年-不适用
674,复方天麻颗粒,,1、忌烟、酒及辛辣，油腻食物2、服药期间要保持情绪乐观，切忌生气恼怒3、有高血压、心脏病，肝病，肾病等慢性病严重者应在医师指导下服用4、服药7天症状无缓解，应去医院就诊5、儿童、孕妇、年老体弱者应在医师指导下服用6、对本品过敏者禁用，过敏体质者慎用。7、本品性状发生改变时禁止使用8、儿童必须在成人的监护下使用9、请将本品放在儿童不能接触的地方10、如正在使用其他药品，使用本品前请咨询医师或药师,
686,盐酸氯丙嗪片,,1.患有心血管疾病(如心衰、心肌梗死、传导异常)慎用。2.出现迟发性运动障碍，应停用所有的抗精神病药。3.出现过敏性皮疹及恶性综合征应立即停药并进行相应的处理。4.用药后引起体位性低血压应卧床，血压过低可静脉滴注去甲肾上腺素，禁用肾上腺素。5.肝、肾功能不全者应减量。6.癫痫患者慎用。7.应定期检查肝功能与白细胞计数。8.对晕动症引起的呕吐效果差。9.用药期间不宜驾驶车辆、操作机械或高空作业。10.不适用于有意识障碍的精神异常者。,心血管疾病-慎用，心衰-慎用，心肌梗塞-慎用，传导异常-慎用，迟发性运动障碍-停用，驾驶汽车-不宜，操作机器-不宜，肾上腺素-禁忌，肝肾功能不全者-减量
689,尼麦角林片,,应在医生指导下使用。通常本品在治疗剂量时对血压无影响，但对敏感患者可能会逐渐降低血压。慎用于高尿酸血症的患者或有痛风史的患者。肾功能不全者应减量。孕妇一般不宜使用，必需使用时应权衡利弊。服药期间禁止饮酒。置于儿童接触不到处!请仔细阅读说明书并遵医嘱使用。,高尿酸血症-慎用，痛风-慎用，肾功能不全-减量，饮酒-禁止，
698,盐酸苯海索片,,"1.个别病人,尤其是在应用利尿剂或血容量减少者,可能会引起血压过度下降,故首次剂量宜从2.5mg开始。2.定期做白细胞计数，肾功能及血钾测定。请仔细阅读说明书并遵医嘱使用。",白细胞计数-检查
